what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1326795032477
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1326795038921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326795040597
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326795041553
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1326795058547
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1326795060370
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326795096930
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326795097430
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326795174990
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326795314877
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326795328669
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326795330087
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326795364565
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326795365460
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1326795410019
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1326795410177
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1326795412887
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326795416488
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326795417334
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1326795421034
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1326795426096
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326795440023
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326795440979
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1326795445296
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1326795450154
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326795457523
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326795458359
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1326795477601
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326795480941
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326795516707
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1326795527599
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1326795530842
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1326795533025
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1326795537087
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326795537897
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326795582023
