what,kind,bundleId,bundleVersion,description,time
java.vm.info,sysinfo,,,"mixed mode, sharing",1326786074576
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1326786074576
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1326786074576
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1326786074576
java.vm.specification.version,sysinfo,,,"1.0",1326786074576
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1326786074576
java.vm.version,sysinfo,,,"20.4-b02",1326786074576
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1326786074763
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786078523
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786114819
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1326786117689
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786136628
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786172257
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786174924
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786181211
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1326786183036
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1326786183239
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1326786218043
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1326786221241
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1326786221365
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1326786222270
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1326786226654
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786228261
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786240850
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786242394
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786243065
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786246606
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786249898
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1326786251770
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786255108
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786255264
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1326786257074
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1326786266715
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1326786270349
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1326786272643
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786278602
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786278758
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786285029
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786291744
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786300885
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786301041
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786306033
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786313677
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1326786315425
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201109151620,"org.eclipse.cdt.codan.checkers.ui",1326786316470
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786319247
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786319371
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1326786325097
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786332085
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786345985
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1326786346016
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1326786353317
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1326786356328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786360836
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786360977
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786375999
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786434079
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786466183
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786477899
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1326786480473
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786489053
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786489209
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1326786494903
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1326786500737
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1326786504622
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786505651
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786826940
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326786830559
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326787018088
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1326787038150
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326787042330
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326787042486
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1326787044717
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1326787057166
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1326787076775
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326787078881
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326787921906
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326787924584
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.0.201109151620,"org.eclipse.cdt.managedbuilder.ui",1326787942657
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326788091564
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.properties",1326788091574
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326788094033
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326788094646
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1326788100103
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1326788114134
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1326788114295
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326788125620
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326788125773
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1326788129688
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326788133095
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326788134699
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326788134726
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326788135890
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1326788136009
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326788136061
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1326788136344
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.0.201109151620,"org.eclipse.cdt.build.crossgcc",1326788136478
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201109151620,"org.eclipse.cdt.codan.checkers.ui",1326788136478
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.0.201109151620,"org.eclipse.cdt.codan.checkers",1326788136478
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201109151620,"org.eclipse.cdt.codan.ui.cxx",1326788136478
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201109151620,"org.eclipse.cdt.codan.core.cxx",1326788136478
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201109151620,"org.eclipse.cdt.launch.remote",1326788136479
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201109151620,"org.eclipse.cdt.debug.mi.ui",1326788136480
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201109151620,"org.eclipse.cdt.debug.mi.core",1326788136480
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201109151620,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1326788136481
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201109151620,"org.eclipse.cdt.debug.ui.memory.search",1326788136481
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201109151620,"org.eclipse.cdt.dsf.gdb.ui",1326788136482
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.0.201109151620,"org.eclipse.cdt.dsf.ui",1326788136483
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201109151620,"org.eclipse.cdt.gdb.ui",1326788136484
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.1.201109151620,"org.eclipse.cdt.dsf.gdb",1326788136485
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201109151620,"org.eclipse.cdt.launch",1326788136485
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.1.201109151620,"org.eclipse.cdt.debug.ui",1326788136485
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201109151620,"org.eclipse.cdt.debug.ui.memory.traditional",1326788136486
stopped,bundle,org.eclipse.cdt.dsf,2.2.0.201109151620,"org.eclipse.cdt.dsf",1326788136486
stopped,bundle,org.eclipse.cdt.debug.core,7.1.0.201109151620,"org.eclipse.cdt.debug.core",1326788136487
